site_id,date,lat,lon,elev,cool_deg_days,wind_dir,heat_deg_days,max_temp,temp,min_temp,snow_grnd,wind_spd,precip_amt,total_rain,total_snow,n_stations,mean_distance,site_lat,site_lon,vpd,temp_interp,wind_spd_interp
SM,2017-04-23,47.82187810014567,-69.55963396830884,136.7707808881643,0,21.440773689211472,13.580264499823203,9.846726409396682,4.419735500176796,-1.0110664516934578,0,39.07537613298044,0.014772672502213766,NA,NA,4,36.775221835025995,47.77,-69.48,NA,4.419735500176796,39.07537613298044
SM,2017-04-24,47.82187810014567,-69.55963396830884,136.7707808881643,0,31.878877138195875,18.610713826972415,2.8691538058879726,-0.6107138269724105,-4.0917388242266455,0,40.13411528274828,0,NA,NA,4,36.775221835025995,47.77,-69.48,NA,-0.6107138269724105,40.13411528274828
SM,2017-04-25,47.82187810014567,-69.55963396830884,136.7707808881643,0,5.589395562940576,18.244249667605267,4.432478591769849,-0.24424966760526598,-4.919960282578162,0,33.446936489442614,3.5,NA,NA,4,36.775221835025995,47.77,-69.48,NA,-0.24424966760526598,33.446936489442614
SM,2017-04-26,47.82187810014567,-69.55963396830884,136.7707808881643,0,2,13.206649479136065,8.59893188358348,4.793350520863934,0.9806257423040978,0,44,6.940081652879278,NA,NA,4,36.775221835025995,47.77,-69.48,NA,4.793350520863934,44
SM,2017-04-27,47.82187810014567,-69.55963396830884,136.7707808881643,0,33.64267277270396,16.323077568640088,2.883029093768996,1.6769224313599127,0.4670047263004596,0,36.150901849505765,2.8054619163496506,NA,NA,4,36.775221835025995,47.77,-69.48,NA,1.6769224313599127,36.150901849505765
SM,2017-04-28,47.82187810014567,-69.55963396830884,136.7707808881643,0,4.360368737276585,15.245692701754912,4.909093265950623,2.7543072982450867,0.5973463217434818,0,43.136580590564286,0.6859464779197858,NA,NA,4,36.775221835025995,47.77,-69.48,NA,2.7543072982450867,43.136580590564286
SM,2017-04-29,47.82187810014567,-69.55963396830884,136.7707808881643,0,33.68771862386546,11.288492095319565,13.482331119110967,6.7115079046804365,-0.15434690270587503,0,45.63080098455748,0.010157745956478031,NA,NA,4,36.775221835025995,47.77,-69.48,NA,6.7115079046804365,45.63080098455748
SM,2017-04-30,47.82187810014567,-69.55963396830884,136.7707808881643,0,29.273307683526976,12.22226856747067,10.663317760113575,5.777731432529328,0.892145104945085,0,40.81673079118256,0,NA,NA,4,36.775221835025995,47.77,-69.48,NA,5.777731432529328,40.81673079118256
SM,2017-05-01,47.82187810014567,-69.55963396830884,136.7707808881643,0,3.726692316473022,12.284841473681363,8.158150919587944,5.715158526318638,3.2671977260051124,NA,41.54342310765558,14.796895540367737,NA,NA,4,36.775221835025995,47.77,-69.48,NA,5.715158526318638,41.54342310765558
SM,2017-05-02,47.82187810014567,-69.55963396830884,136.7707808881643,0,5.771084605028303,13.023942613794215,7.6843511406716285,4.976057386205786,2.264431258550025,NA,39.08378126665175,7.647394407455238,NA,NA,4,36.775221835025995,47.77,-69.48,NA,4.976057386205786,39.08378126665175
SM,2017-05-03,47.82187810014567,-69.55963396830884,136.7707808881643,0,23.26119214581829,11.661895803268834,10.367848899738414,6.338104196731167,2.3023734422774798,NA,40.565168540095605,2.6967493178466686,NA,NA,4,36.775221835025995,47.77,-69.48,NA,6.338104196731167,40.565168540095605
SM,2017-05-04,47.82187810014567,-69.55963396830884,136.7707808881643,0,23.45713402775447,9.62948980582973,13.997503491377474,8.370510194170272,2.645691905759141,NA,33.532035898486285,0,NA,NA,4,36.775221835025995,47.77,-69.48,NA,8.370510194170272,33.532035898486285
