site,year,flight_date,flight_id,source_file,site_treeid,tree_height_corrected_m,canopy_area_m2,tree_altitude_m
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeSpatialMetrics.csv,PIK_5851,2.1316512,1.6483188284461001,223.95888
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeSpatialMetrics.csv,PIK_5852,2.0520523,1.4795332711618105,223.8915
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeSpatialMetrics.csv,PIK_5853,1.9845026,0.6599356918457635,223.81805
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeSpatialMetrics.csv,PIK_5854,1.9127579,0.32236484621607236,223.74132
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeSpatialMetrics.csv,PIK_5858,1.0224887,0.6295236260154182,222.57628
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeSpatialMetrics.csv,PIK_5859,2.051817,1.8018971231396896,224.22107
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeSpatialMetrics.csv,PIK_5860,1.4398882,0.9138735042088116,223.29045
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeSpatialMetrics.csv,PIK_5861,1.473927,1.3472409638938305,223.39299
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeSpatialMetrics.csv,PIK_5862,2.5692701,2.2383054485869356,225.23721
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeSpatialMetrics.csv,PIK_5863,2.1743524,1.6376731066821797,224.62671
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeSpatialMetrics.csv,PIK_5864,2.3176382,2.7340166883903025,224.91188
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeSpatialMetrics.csv,PIK_5865,1.5766771,1.1830171438171375,223.75928
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeSpatialMetrics.csv,PIK_5866,1.1193223,1.3077051789407128,223.10258
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeSpatialMetrics.csv,PIK_5867,2.0132666,1.7669224598964262,224.54547
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeSpatialMetrics.csv,PIK_5868,1.9304682,1.221031512424484,224.44936
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeSpatialMetrics.csv,PIK_5869,2.5926132,2.2595923512055913,225.5911
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeSpatialMetrics.csv,PIK_5870,1.2386253,1.1556461152233288,223.44965
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeSpatialMetrics.csv,PIK_5871,2.0299098,0.8226374620020147,224.73196
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeSpatialMetrics.csv,PIK_5876,1.9230895,0.17030565897312283,224.74315
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeSpatialMetrics.csv,PIK_5878,1.4441489,0.22960848255602911,224.07997
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeSpatialMetrics.csv,PIK_5879,1.0614014,0.5048345089415721,223.55269
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeSpatialMetrics.csv,PIK_5880,1.8275081,0.9047485185073176,224.776
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeSpatialMetrics.csv,PIK_5881,1.7818667,1.3213888906899418,224.75829
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeSpatialMetrics.csv,PIK_5883,1.4801459,0.09731746307135447,224.40169
