site,year,flight_date,flight_id,source_file,site_treeid,treeTop_x,treeTop_y,treeTop_x_std,treeTop_y_std
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5851,647910.619006,4870869.690014999,0.12649110641409791,0.12649110652453918
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5852,647912.539006,4870870.530015,0.09797958968851447,0.1496662953116575
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5853,647914.4590060001,4870871.170015,0.14966629543611076,0.09797958980257773
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5854,647916.0590059999,4870872.050015,0.08000000002793968,0.23323807601103191
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5858,647923.9790060001,4870874.610014999,0.1496662954734467,0.09797958980257773
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5859,647925.579006,4870875.370015,0.1496662954734467,0.09797958934632471
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5860,647927.539006,4870876.130015001,0.09797958968851447,0.14966629561034525
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5861,647929.419006,4870876.690014999,0.12649110637728417,0.12649110652453918
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5862,647931.339006,4870877.330015,0.09797958968851447,0.14966629521209496
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5863,647933.2590060001,4870877.970015,0.1496662954734467,0.09797958980257773
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5864,647934.9390060001,4870878.730014999,0.09797958968851447,0.14966629561034525
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5865,647936.9790060001,4870879.410015,0.1496662954734467,0.09797958934632471
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5866,647938.9390060001,4870880.450015,0.09797958968851447,0.14966629521209496
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5867,647940.7390060001,4870880.730014999,0.0979795897455461,0.14966629561034525
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5868,647942.5790060001,4870881.410015,0.1496662954734467,0.09797958934632471
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5869,647944.379006,4870882.170015,0.14966629543611076,0.09797958980257772
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5870,647946.339006,4870882.8500149995,0.09797958968851447,0.14966629561034525
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5871,647948.2590060001,4870883.410015,0.1496662954734467,0.09797958934632471
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5876,647957.4590060001,4870886.810014999,0.14966629543611076,0.09797958980257773
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5878,647961.4590060001,4870888.370015,0.14966629543611076,0.09797958934632471
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5879,647963.339006,4870889.050015,0.09797958968851447,0.14966629561034525
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5880,647965.139006,4870889.530015,0.0979795897455461,0.1496662953116575
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5881,647967.099006,4870890.050015,0.0979795897455461,0.14966629561034525
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5883,647970.919006,4870891.690014999,0.09999999997671694,0.0
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5886,647976.5390060002,4870893.8500149995,0.20396078052818636,0.0800000000745058
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5891,647986.2190060001,4870897.290015,0.12649110641409791,0.12649110623002913
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5892,647987.9390060001,4870898.050015,0.09797958968851447,0.14966629561034525
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5893,647989.5790060001,4870898.410015,0.1496662954734467,0.09797958934632471
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5894,647991.2990060002,4870898.8500149995,0.09797958968851447,0.14966629561034525
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5895,647993.299006,4870899.730014999,0.09797958968851447,0.14966629561034525
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5896,647995.179006,4870900.210015,0.14966629548589203,0.09797958980257772
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5897,647997.139006,4870901.050015,0.09797958974554609,0.14966629561034525
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5898,647998.899006,4870901.530015,0.09797958968851447,0.1496662953116575
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5899,648001.019006,4870902.490014999,0.12649110641409791,0.12649110623002913
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5900,648002.7390060001,4870903.050015,0.0979795897455461,0.14966629561034525
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5901,648004.7390060001,4870903.730014999,0.0979795897455461,0.14966629561034525
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5902,648006.579006,4870904.410015,0.1496662954734467,0.09797958934632471
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5903,648008.339006,4870905.130015001,0.09797958968851447,0.14966629561034525
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5904,648010.2190060001,4870905.890015,0.12649110641409791,0.12649110652453918
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5905,648012.2190060001,4870906.490015,0.12649110641409791,0.12649110623002913
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5906,648014.059006,4870907.010014999,0.14966629548589205,0.09797958980257773
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5907,648015.899006,4870907.730014999,0.09797958968851447,0.14966629561034525
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5908,648017.779006,4870908.570015,0.14966629548589203,0.09797958980257773
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5909,648019.659006,4870909.170015,0.14966629548589203,0.09797958980257772
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5910,648021.579006,4870910.170015,0.1496662954734467,0.1600000001490116
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5912,648025.339006,4870911.330014999,0.09797958968851447,0.14966629521209499
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5913,648027.059006,4870911.770014999,0.14966629548589203,0.09797958980257772
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5914,648029.059006,4870912.570015,0.14966629548589203,0.09797958980257773
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5915,648031.059006,4870913.210015,0.14966629548589205,0.09797958980257773
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5917,648034.9790060001,4870914.770014999,0.1496662954734467,0.09797958980257772
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5918,648036.739006,4870915.330015,0.20396078054645111,0.07999999970197677
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5919,648038.2590060001,4870915.770014999,0.14966629547344673,0.09797958980257772
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5923,647911.139006,4870867.930015,0.09797958974554609,0.14966629561034525
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5924,647913.099006,4870868.650014999,0.0979795897455461,0.14966629561034525
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5925,647915.179006,4870869.410015,0.14966629548589205,0.09797958934632471
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5926,647916.7390060001,4870870.050015,0.0979795897455461,0.14966629561034525
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5927,647918.859006,4870870.770014999,0.1496662954734467,0.09797958980257773
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5928,647920.7390060001,4870871.450015,0.0979795897455461,0.14966629521209496
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5929,647922.7390060001,4870872.130015001,0.0979795897455461,0.14966629561034525
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5930,647924.499006,4870872.730014999,0.09797958968851447,0.14966629561034525
PIK,2022,2022-06-30,2022-06-30_1,UAVS_PIK_2022-06-30_1_treeTop.csv,PIK_5931,647926.339006,4870873.650014999,0.09797958968851447,0.14966629561034525
