site,date,Cluster,Genotype,wp_pd
PIK,2023-10-13,M,1069,0.445
PIK,2023-05-06,D,1222,0.315
PIK,2023-06-21,D,1222,0.358
PIK,2023-07-25,D,1222,0.098
PIK,2023-08-19,D,1222,0.368
PIK,2023-09-07,D,1222,0.362
PIK,2023-10-13,D,1222,0.401
PIK,2023-05-06,D,1755,0.368
PIK,2023-06-21,D,1755,0.368
PIK,2023-07-25,D,1755,0.085
PIK,2023-08-19,D,1755,0.23
PIK,2023-09-07,D,1755,0.378
PIK,2023-10-13,D,1755,0.534
PIK,2023-05-06,E,2218,0.308
PIK,2023-06-21,H,2218,0.499
PIK,2023-07-25,H,2106,0.2905
PIK,2023-08-19,H,2218,0.223
PIK,2023-09-07,H,2218,0.321
PIK,2023-10-13,H,2218,0.317
PIK,2023-05-06,E,788,0.448
PIK,2023-06-21,A,788,0.308
PIK,2023-07-25,A,953,0.1535
PIK,2023-08-19,A,788,0.359
PIK,2023-09-07,A,788,0.497
PIK,2023-10-13,A,788,0.343
PIK,2023-05-06,E,599,0.48
PIK,2023-06-21,M,599,0.278
PIK,2023-07-25,M,953,0.135
PIK,2023-08-19,M,599,0.186
PIK,2023-09-07,M,599,0.564
PIK,2023-10-13,M,599,0.461
PIK,2023-05-06,E,886,0.298
PIK,2023-06-21,H,886,0.298
PIK,2023-07-25,H,2054,0.194
PIK,2023-08-19,H,886,0.198
PIK,2023-09-07,H,886,0.301
PIK,2023-10-13,H,886,0.413
PIK,2023-05-06,F,318,0.27
PIK,2023-06-21,M,318,0.298
PIK,2023-07-25,M,377,0.203
PIK,2023-08-19,M,318,0.472
PIK,2023-09-07,M,318,0.466
PIK,2023-10-13,M,318,0.329
PIK,2023-05-06,F,1181,0.22
PIK,2023-06-21,B,1181,0.403
PIK,2023-07-25,B,377,0.142
PIK,2023-08-19,B,1181,0.47
PIK,2023-09-07,B,1181,0.493
PIK,2023-10-13,B,1181,0.279
PIK,2023-05-06,F,1181,0.135
PIK,2023-06-21,I,1181,0.351
PIK,2023-07-25,I,1412,0.175
PIK,2023-08-19,I,1181,0.351
PIK,2023-09-07,I,1181,0.437
PIK,2023-10-13,I,1181,0.542
PIK,2023-05-06,F,1181,0.31
PIK,2023-06-21,M,1181,0.392
PIK,2023-07-25,M,788,0.2155
PIK,2023-08-19,M,1181,0.229
PIK,2023-09-07,M,1181,0.689
PIK,2023-10-13,M,1181,0.233
PIK,2023-05-06,F,295,0.268
PIK,2023-06-21,H,295,0.333
PIK,2023-07-25,H,2080,0.161
PIK,2023-08-19,H,295,0.218
PIK,2023-09-07,H,295,0.29
PIK,2023-10-13,H,295,0.317
PIK,2023-05-06,G,1589,0.273
PIK,2023-06-21,H,1589,0.393
PIK,2023-07-25,H,1069,0.138
PIK,2023-08-19,H,1589,0.196
PIK,2023-09-07,H,1589,0.331
PIK,2023-10-13,H,1589,0.309
PIK,2023-05-06,G,2153,0.29
PIK,2023-06-21,L,2153,0.32
PIK,2023-07-25,L,599,0.1895
PIK,2023-08-19,L,2153,0.118
PIK,2023-09-07,L,2153,0.438
PIK,2023-10-13,L,2153,0.461
PIK,2023-05-06,G,1412,0.308
PIK,2023-06-21,E,1412,0.375
PIK,2023-07-25,E,2218,0.0875
PIK,2023-08-19,E,1412,0.177
PIK,2023-09-07,E,1412,0.552
PIK,2023-10-13,E,1412,0.34
PIK,2023-05-06,G,2147,0.234
PIK,2023-06-21,E,2147,0.383
PIK,2023-07-25,E,788,0.1435
PIK,2023-08-19,E,2147,0.153
PIK,2023-09-07,E,2147,0.347
PIK,2023-10-13,E,2147,0.371
PIK,2023-05-06,H,889,0.221
PIK,2023-06-21,N,889,0.448
PIK,2023-07-25,N,2080,0.1545
PIK,2023-08-19,N,889,0.161
