site_id,date,lat,lon,elev,cool_deg_days,wind_dir,heat_deg_days,max_temp,temp,min_temp,snow_grnd,wind_spd,precip_amt,total_rain,total_snow,n_stations,mean_distance,site_lat,site_lon,vpd,temp_interp,wind_spd_interp
CSI,2015-11-21,47.17541448289971,-70.66023872231652,250.34124188683973,0,15.505123538480852,18.018126599205495,3.7058104475542386,-0.018126599205494018,-3.7597442538217907,0,46.275142544400985,0.028162649674408586,0,0,4,35.99389228519634,47.04,-70.41,NA,-0.018126599205494018,46.275142544400985
CSI,2015-11-22,47.17541448289971,-70.66023872231652,250.34124188683973,0,23.389292977236856,15.809181803409711,5.533006184768173,2.190818196590286,-1.214943069425182,0,40.62507771388291,0.5924218102957521,0,1.2,4,35.99389228519634,47.04,-70.41,NA,2.190818196590286,40.62507771388291
CSI,2015-11-23,47.17541448289971,-70.66023872231652,250.34124188683973,0,16.882302475190357,21.773250254134993,0.36762427515592716,-3.7732502541349953,-7.896444175569354,1,36.600051958270235,0,0,0,4,35.99389228519634,47.04,-70.41,NA,-3.7732502541349953,36.600051958270235
CSI,2015-11-24,47.17541448289971,-70.66023872231652,250.34124188683973,0,19.20903106339553,24.42829948037825,-2.011870160302325,-6.4282994803782545,-10.762409408310749,1,44.17631426317792,0,0,0,4,35.99389228519634,47.04,-70.41,NA,-6.4282994803782545,44.17631426317792
CSI,2015-11-25,47.17541448289971,-70.66023872231652,250.34124188683973,0,23,24.294561115108444,-0.6667206156466814,-6.294561115108446,-11.86829428455123,1,41,0,0,0,4,35.99389228519634,47.04,-70.41,NA,-6.294561115108446,41
CSI,2015-11-26,47.17541448289971,-70.66023872231652,250.34124188683973,0,26.039384920635207,15.508660651386894,8.039040650368786,2.491339348613105,-3.1386813452860123,1,44.63384589947066,0.0814289429087367,0.4,0,4,35.99389228519634,47.04,-70.41,NA,2.491339348613105,44.63384589947066
CSI,2015-11-27,47.17541448289971,-70.66023872231652,250.34124188683973,0,16.937435610968308,14.47312664390998,9.10437337844226,3.526873356090017,-2.114199944099808,0,52.010784960168486,14.223969361769825,18.8,2,4,35.99389228519634,47.04,-70.41,NA,3.526873356090017,52.010784960168486
CSI,2015-11-28,47.17541448289971,-70.66023872231652,250.34124188683973,0,11.555076058200246,21.835262852635587,-1.2840426504081175,-3.8352628526355863,-6.350056332700636,2,37.247999338623714,0.3097891464184945,0,0,4,35.99389228519634,47.04,-70.41,NA,-3.8352628526355863,37.247999338623714
CSI,2015-11-29,47.17541448289971,-70.66023872231652,250.34124188683973,0,29.53599167563723,26.540603374449592,-3.3115115872071965,-8.540603374449596,-13.68737576954856,1.18223499435309,38.79631035250824,0.0814289429087367,0,0.4,4,35.99389228519634,47.04,-70.41,NA,-8.540603374449596,38.79631035250824
CSI,2015-11-30,47.17541448289971,-70.66023872231652,250.34124188683973,0,19.275181183378496,28.43382578352361,-6.167228778101942,-10.433825783523607,-14.646315458926296,1.0989114228406778,42.976961953376346,0.1732188919950511,0,0,4,35.99389228519634,47.04,-70.41,NA,-10.433825783523607,42.976961953376346
CSI,2015-12-01,47.17541448289971,-70.66023872231652,250.34124188683973,0,11.555076058200246,22.6842154421719,0.3366616850325328,-4.684215442171902,-9.6227731772329,1.0989114228406778,36.59446097883545,0.569074266986672,0,1,4,35.99389228519634,47.04,-70.41,NA,-4.684215442171902,36.59446097883545
CSI,2015-12-02,47.17541448289971,-70.66023872231652,250.34124188683973,0,18,16.48997670818737,3.25660990558025,1.5100232918126295,-0.27299004411740957,1.0989114228406778,63,3.3391946865984123,3.4,0.2,4,35.99389228519634,47.04,-70.41,NA,1.5100232918126295,63
CSI,2015-12-03,47.17541448289971,-70.66023872231652,250.34124188683973,0,5.835706799240697,18.647107765790437,2.2689499916228035,-0.6471077657904394,-3.5090581931847,0,48.01808631774664,4.9128288575424275,0,6,4,35.99389228519634,47.04,-70.41,NA,-0.6471077657904394,48.01808631774664
CSI,2015-12-04,47.17541448289971,-70.66023872231652,250.34124188683973,0,26.737331694427837,19.605105558943894,0.5861846081304378,-1.605105558943896,-3.7422883959992475,4.1844485140212155,34.83955232154315,2.063886222392826,0,1,4,35.99389228519634,47.04,-70.41,NA,-1.605105558943896,34.83955232154315
CSI,2015-12-05,47.17541448289971,-70.66023872231652,250.34124188683973,0,26.92479283748638,17.74866844512743,3.593085809281439,0.2513315548725694,-3.153995977373882,4.1844485140212155,45.78627699907863,0.23208998771302805,0,0,4,35.99389228519634,47.04,-70.41,NA,0.2513315548725694,45.78627699907863
CSI,2015-12-06,47.17541448289971,-70.66023872231652,250.34124188683973,0,25.737331694427834,16.40064476224783,3.9028741382239547,1.5993552377521676,-0.7041636627196194,3.296734268522033,45.43266484194735,0,0,0,4,35.99389228519634,47.04,-70.41,NA,1.5993552377521676,45.43266484194735
CSI,2015-12-07,47.17541448289971,-70.66023872231652,250.34124188683973,0,27.712615740741075,17.407422353173818,3.303803044880672,0.5925776468261797,-2.128113699046912,3.296734268522033,38.59446097883546,0,0,0,4,35.99389228519634,47.04,-70.41,NA,0.5925776468261797,38.59446097883546
CSI,2015-12-08,47.17541448289971,-70.66023872231652,250.34124188683973,0,10,20.81864775122831,-0.8822210290658943,-2.8186477512283123,-4.755074473390731,3.296734268522033,63,0,0,0,4,35.99389228519634,47.04,-70.41,NA,-2.8186477512283123,63
CSI,2015-12-09,47.17541448289971,-70.66023872231652,250.34124188683973,0,19.039384920635204,19.912440493863908,-0.02741975526030853,-1.9124404938639141,-3.743353902448537,2.9758942843065594,34.28738425925893,0,0,0,4,35.99389228519634,47.04,-70.41,NA,-1.9124404938639141,34.28738425925893
CSI,2015-12-10,47.17541448289971,-70.66023872231652,250.34124188683973,0,24,16.4936813899905,4.090967785950418,1.5063186100094985,-1.0419038437690016,2.6550543000910864,39,0.522202472354313,0,0,4,35.99389228519634,47.04,-70.41,NA,1.5063186100094985,39
CSI,2015-12-11,47.17541448289971,-70.66023872231652,250.34124188683973,0,17,13.892602893973649,7.1668811498305525,4.107397106026348,0.9843397843845616,1.0989114228406778,35,3.536925518014267,2.8,0,4,35.99389228519634,47.04,-70.41,NA,4.107397106026348,35
CSI,2015-12-12,47.17541448289971,-70.66023872231652,250.34124188683973,0,25.198116207551447,15.269037409876605,7.133465165684662,2.730962590123394,-1.771539985437873,0,34.94486686422204,0,0,0,4,35.99389228519634,47.04,-70.41,NA,2.730962590123394,34.94486686422204
CSI,2015-12-13,47.17541448289971,-70.66023872231652,250.34124188683973,0,7,18.14973395157672,3.16989188784708,-0.14973395157672068,-3.4693597910005214,0,33,0.6514315432698936,0,1,4,35.99389228519634,47.04,-70.41,NA,-0.14973395157672068,33
CSI,2015-12-14,47.17541448289971,-70.66023872231652,250.34124188683973,0,5.229980994079868,19.912068931201226,-0.4202835912391923,-1.9120689312012273,-3.449746941144279,1.2353028930349355,38.13244773371964,12.355657173220417,10,4,4,35.99389228519634,47.04,-70.41,NA,-1.9120689312012273,38.13244773371964
CSI,2015-12-15,47.17541448289971,-70.66023872231652,250.34124188683973,0,3.5562276622493783,19.87795900326873,-0.256710313401611,-1.877959003268733,-3.4992076931358542,7.770137389778666,51.77508935100248,18.31505959146527,0,13,4,35.99389228519634,47.04,-70.41,NA,-1.877959003268733,51.77508935100248
CSI,2015-12-16,47.17541448289971,-70.66023872231652,250.34124188683973,0,31,20.89795640535522,-1.514199944099808,-2.8979564053552207,-4.218139588773052,19.46251734966341,61,0.9112690570281746,0,0.6,4,35.99389228519634,47.04,-70.41,NA,-2.8979564053552207,61
CSI,2015-12-17,47.17541448289971,-70.66023872231652,250.34124188683973,0,21.405539021164543,19.293867171321843,0.8666461869604386,-1.2938671713218444,-3.417953807441709,17.721925958391786,53.85046296296429,10.608654767290563,9,6,4,35.99389228519634,47.04,-70.41,NA,-1.2938671713218444,53.85046296296429
CSI,2015-12-18,47.17541448289971,-70.66023872231652,250.34124188683973,0,27.712615740741075,18.896692128007025,2.3398582043804037,-0.8966921280070285,-4.196815738232042,20.57480310416423,53.196924603176036,2.4305503723848245,0,0.4,4,35.99389228519634,47.04,-70.41,NA,-0.8966921280070285,53.196924603176036
CSI,2015-12-19,47.17541448289971,-70.66023872231652,250.34124188683973,0,28.36240940831075,24.334320956411307,-2.160216224305839,-6.334320956411308,-10.426106296373344,18.8956430883797,42.80188379244855,0.7722327408203365,0,5,4,35.99389228519634,47.04,-70.41,NA,-6.334320956411308,42.80188379244855
CSI,2015-12-20,47.17541448289971,-70.66023872231652,250.34124188683973,0,27.36240940831075,26.094697714901017,-5.923095558356817,-8.09469771490102,-10.202726593607641,20.179003025241595,40.37368618386695,0.12214341436310505,0,0.6,4,35.99389228519634,47.04,-70.41,NA,-8.09469771490102,40.37368618386695
CSI,2015-12-21,47.17541448289971,-70.66023872231652,250.34124188683973,0,20.39013304144092,22.810990435184376,-2.3517413542502874,-4.810990435184378,-7.2243468461374505,19.994554511220375,48.505123538480845,7.047809593550487,0,9.8,4,35.99389228519634,47.04,-70.41,NA,-4.810990435184378,48.505123538480845
CSI,2015-12-22,47.17541448289971,-70.66023872231652,250.34124188683973,0,7,20.30065775181539,-0.5362047488598631,-2.3006577518153914,-4.056896094732954,25.598754432297746,35,9.141516479752386,9.6,3,4,35.99389228519634,47.04,-70.41,NA,-2.3006577518153914,35
CSI,2015-12-23,47.17541448289971,-70.66023872231652,250.34124188683973,0,16.39013304144092,17.202479373157612,3.1360653723358247,0.7975206268423852,-1.5328094586130896,27.05598588670747,48.73510453256072,6.83024015473848,23,0,4,35.99389228519634,47.04,-70.41,NA,0.7975206268423852,48.73510453256072
CSI,2015-12-24,47.17541448289971,-70.66023872231652,250.34124188683973,0,10.001987708989022,13.746215051104933,7.510779406705561,4.253784948895066,0.9332172132469884,25.41430591827653,50.74811665459632,17.06956591466127,9,0,4,35.99389228519634,47.04,-70.41,NA,4.253784948895066,50.74811665459632
