site,year,flight_date,flight_id,source_file,site_treeid,tree_height_corrected_m,canopy_area_m2,tree_altitude_m
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5902,2.5444658,0.9665505915480365,227.38968
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5903,3.2905185,2.229803572050205,228.77457
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5904,2.0695105,0.532509695181729,226.69147
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5905,2.514342,1.4316865397346261,227.534
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5906,3.812648,1.9162573906007094,229.9543
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5907,3.4414577,1.102592759896522,229.266
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5909,3.3643546,0.6426391513342685,229.18199
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5912,3.4244554,0.8603070241318406,229.35536
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5914,2.6827323,1.2541824145231903,228.0349
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5915,3.2848701,2.0250897495503897,229.1214
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5916,2.5266013,0.6957601686099067,227.76784
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5917,3.1020415,1.2982339347947722,228.78487
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5918,3.7609684,2.019906654385747,230.03583
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5919,3.4280846,0.4120142834673225,229.39107
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5923,2.5246572,1.522388720957007,224.67912
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5924,1.8888451,0.7333378241515895,223.68602
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5925,1.7679095,0.8680853213744619,223.52298
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5926,2.068258,1.2580757889054839,224.05104
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5927,2.4056106,1.633814039553269,224.66383
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5928,2.3903823,1.3008320553059178,224.69566
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5929,2.3743172,2.2285168377756595,224.72415
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5930,2.4802988,1.4640836910006971,224.93327
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5931,2.5261116,0.866789210550539,225.07033
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5932,2.6078837,2.286820517315023,225.26024
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5933,2.231485,0.9652584375626542,224.66994
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5934,2.488442,1.3993007475473787,225.1622
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5935,2.1796937,0.913432360269745,224.68869
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5936,2.3055904,2.3023675705932676,224.94241
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5937,0.64721966,0.037573806762308565,222.39638
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5938,2.0353303,1.4122567726300534,224.58652
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5939,2.3949065,1.7854033595064207,225.2269
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5940,2.7990127,1.8799855577770117,225.97772
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5941,2.0989828,0.7074238771197721,224.82008
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5942,2.053311,1.0183793299593924,224.79042
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5943,1.3725756,0.20859931582717367,223.73907
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5946,1.4997946,0.25912951899491615,224.0455
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5947,2.4188213,1.4342817546226112,225.59302
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5950,1.6431416,0.6037715713190241,224.4424
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5951,1.4552174,0.7890490461896531,224.19572
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5952,1.9525054,0.8369879392473654,225.02153
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5953,1.6716635,0.3096595870479538,224.62192
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5954,2.0577323,0.795527085562591,225.30977
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5955,1.8505961,0.8758571086142461,225.01233
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5956,1.992436,0.5921105003169106,225.2951
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5957,2.077148,1.2762117404250624,225.48009
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5958,2.1292596,1.2282726901234013,225.61157
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5959,1.6974729,0.5467626879910044,224.96234
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5960,1.8861979,0.7709094199069628,225.32033
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5961,1.9123502,0.792935347794591,225.41924
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5962,1.7416342,0.6465272834878636,225.1996
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5963,1.7685982,0.6322751457130139,225.29977
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5965,1.60468,0.5312147025150795,225.16566
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5966,1.7416625,0.7631351847632822,225.44359
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5967,1.3927323,0.20341632375832513,224.95891
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5968,2.0121946,0.9302733152720579,226.04474
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5969,2.005237,0.9795077256748144,226.12856
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5970,1.6814497,0.9289774450474191,225.66856
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5971,1.7172284,0.5169623351265469,225.78343
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5972,2.5698714,1.8540677314228422,227.28989
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5973,2.8143144,2.1274486156464625,227.78427
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5974,2.7792726,3.4995360008873133,227.75827
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5976,1.9951044,0.6361614156557601,226.54413
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5977,3.099007,2.3308641413917037,228.53783
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5978,2.7005243,1.8320408944750548,227.85724
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5979,2.5283587,0.8693772145666276,227.58426
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5980,3.1822903,1.4679646225466108,228.75624
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5982,2.4639852,0.509188004383623,227.52802
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5985,2.9057684,0.5402833023276388,228.36646
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5986,3.504968,1.9201435159365696,229.49034
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeSpatialMetrics.csv,PIK_5987,3.7479043,2.8387542733186684,229.98247
