Title,Authors,Is in PCA*?,Citation,DOI,# Cells,COPO Link,Viewer(s),Species
<div title='FlsnRNA-seq: protoplasting-free full-length single-nucleus RNA profiling in plants' class='scea-table'>FlsnRNA-seq: protoplasting-free full-length single-nucleus RNA profiling in plants</div>,"<div title='Long Y, Liu Z, Jia J, Mo W, Fang L, Lu D, Liu B, Zhang H, Chen W, Zhai J' class='scea-table'>Long Y, Liu Z, Jia J, Mo W, Fang L, Lu D, Liu B, Zhang H, Chen W, Zhai J</div>",,<div title='Genome Biol. 2021 Feb 19;22(1):66. doi: 10.1186/s13059-021-02288-0.' class='scea-table'>Genome Biol. 2021 Feb 19;22(1):66. doi: 10.1186/s13059-021-02288-0.</div>,<a href='http://dx.doi.org/10.1186/s13059-021-02288-0'>10.1186/s13059-021-02288-0</a>,1762,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP285040.h5ad'>scPlantDB</a>,<i>Arabidopsis thaliana</i>
<div title='Single-cell resolution of lineage trajectories in the Arabidopsis stomatal lineage and developing leaf' class='scea-table'>Single-cell resolution of lineage trajectories in the Arabidopsis stomatal lineage and developing leaf</div>,"<div title='Lopez-Anido CB, Vaten A, Smoot NK, Sharma N, Guo V, Gong Y, Anleu Gil MX, Weimer AK, Bergmann DC' class='scea-table'>Lopez-Anido CB, Vaten A, Smoot NK, Sharma N, Guo V, Gong Y, Anleu Gil MX, Weimer AK, Bergmann DC</div>",,<div title='Dev Cell. 2021 Apr 5;56(7):1043-1055.e4. doi: 10.1016/j.devcel.2021.03.014.' class='scea-table'>Dev Cell. 2021 Apr 5;56(7):1043-1055.e4. doi: 10.1016/j.devcel.2021.03.014.</div>,<a href='http://dx.doi.org/10.1016/j.devcel.2021.03.014'>10.1016/j.devcel.2021.03.014</a>,18579,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP307169.h5ad'>scPlantDB</a>,<i>Arabidopsis thaliana</i>
<div title='Development of an inducible DNA barcoding system to understand lineage changes in Arabidopsis regeneration' class='scea-table'>Development of an inducible DNA barcoding system to understand lineage changes in Arabidopsis regeneration</div>,"<div title='Lu X, Zhang Q, Wang Z, Cheng X, Yan H, Cai S, Zhang H, Liu Q' class='scea-table'>Lu X, Zhang Q, Wang Z, Cheng X, Yan H, Cai S, Zhang H, Liu Q</div>",,<div title='Dev Cell. 2025 Jan 20;60(2):305-319.e5. doi: 10.1016/j.devcel.2024.10.023. Epub 2024 Nov 25.' class='scea-table'>Dev Cell. 2025 Jan 20;60(2):305-319.e5. doi: 10.1016/j.devcel.2024.10.023. Epub 2024 Nov 25.</div>,<a href='http://dx.doi.org/10.1016/j.devcel.2024.10.023'>10.1016/j.devcel.2024.10.023</a>,n/a,,,<i>Arabidopsis thaliana</i>
<div title='The dynamic and diverse nature of parenchyma cells in the Arabidopsis root during secondary growth' class='scea-table'>The dynamic and diverse nature of parenchyma cells in the Arabidopsis root during secondary growth</div>,"<div title='Lyu M, Iida H, Eekhout T, Maekelae M, Muranen S, Ye L, Vaten A, Wybouw B, Wang X, De Rybel B, Maehoenen AP' class='scea-table'>Lyu M, Iida H, Eekhout T, Maekelae M, Muranen S, Ye L, Vaten A, Wybouw B, Wang X, De Rybel B, Maehoenen AP</div>",,<div title='Nat Plants. 2025 Mar 26. doi: 10.1038/s41477-025-01938-6. Online ahead of print.' class='scea-table'>Nat Plants. 2025 Mar 26. doi: 10.1038/s41477-025-01938-6. Online ahead of print.</div>,<a href='http://dx.doi.org/10.1038/s41477-025-01938-6'>10.1038/s41477-025-01938-6</a>,11760,,<a href='https://single-cell.be/plant/root-secondary-tissue'>VIB Plant sc-Atlas</a>,<i>Arabidopsis thaliana</i>
<div title='Single-cell RNA sequencing of batch Chlamydomonas cultures reveals heterogeneity in their diurnal cycle phase' class='scea-table'>Single-cell RNA sequencing of batch Chlamydomonas cultures reveals heterogeneity in their diurnal cycle phase</div>,"<div title='Ma F, Salome PA, Merchant SS, Pellegrini M' class='scea-table'>Ma F, Salome PA, Merchant SS, Pellegrini M</div>",,<div title='Plant Cell. 2021 May 31;33(4):1042-1057. doi: 10.1093/plcell/koab025.' class='scea-table'>Plant Cell. 2021 May 31;33(4):1042-1057. doi: 10.1093/plcell/koab025.</div>,<a href='http://dx.doi.org/10.1093/plcell/koab025'>10.1093/plcell/koab025</a>,59933,,,<i>Chlamydomonas reinhardtii</i>
<div title='Single-cell RNA sequencing reveals a key regulator ZmEREB14 affecting shoot apex development and yield formation in maize' class='scea-table'>Single-cell RNA sequencing reveals a key regulator ZmEREB14 affecting shoot apex development and yield formation in maize</div>,"<div title='Ma L, Zhang N, Liu P, Liang Y, Li R, Yuan G, Zou C, Chen Z, Luebberstedt T, Pan G, Shen Y' class='scea-table'>Ma L, Zhang N, Liu P, Liang Y, Li R, Yuan G, Zou C, Chen Z, Luebberstedt T, Pan G, Shen Y</div>",,<div title='Plant Biotechnol J. 2025 Mar;23(3):766-779. doi: 10.1111/pbi.14537. Epub 2024 Dec 4.' class='scea-table'>Plant Biotechnol J. 2025 Mar;23(3):766-779. doi: 10.1111/pbi.14537. Epub 2024 Dec 4.</div>,<a href='http://dx.doi.org/10.1111/pbi.14537'>10.1111/pbi.14537</a>,12700,,,<i>Zea mays</i>
<div title='Single-Cell RNA Sequencing of Arabidopsis Leaf Tissues Identifies Multiple Specialized Cell Types: Idioblast Myrosin Cells and Potential Glucosinolate-Producing Cells' class='scea-table'>Single-Cell RNA Sequencing of Arabidopsis Leaf Tissues Identifies Multiple Specialized Cell Types: Idioblast Myrosin Cells and Potential Glucosinolate-Producing Cells</div>,"<div title='Maeda T, Sugano SS, Shirakawa M, Sagara M, Ito T, Kondo S, Nagano AJ' class='scea-table'>Maeda T, Sugano SS, Shirakawa M, Sagara M, Ito T, Kondo S, Nagano AJ</div>",,<div title='Plant Cell Physiol. 2023 Mar 1;64(2):234-247. doi: 10.1093/pcp/pcac167.' class='scea-table'>Plant Cell Physiol. 2023 Mar 1;64(2):234-247. doi: 10.1093/pcp/pcac167.</div>,<a href='http://dx.doi.org/10.1093/pcp/pcac167'>10.1093/pcp/pcac167</a>,3264,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/DRP009643.h5ad'>scPlantDB</a>,<i>Arabidopsis thaliana</i>
<div title='A cis-regulatory atlas in maize at single-cell resolution' class='scea-table'>A cis-regulatory atlas in maize at single-cell resolution</div>,"<div title='Marand AP, Chen Z, Gallavotti A, Schmitz RJ*' class='scea-table'>Marand AP, Chen Z, Gallavotti A, Schmitz RJ*</div>",Yes,<div title='Cell. 2021 May 27;184(11):3041-3055.e21. doi: 10.1016/j.cell.2021.04.014. Epub 2021 May 7.' class='scea-table'>Cell. 2021 May 27;184(11):3041-3055.e21. doi: 10.1016/j.cell.2021.04.014. Epub 2021 May 7.</div>,<a href='http://dx.doi.org/10.1016/j.cell.2021.04.014'>10.1016/j.cell.2021.04.014</a>,15515,,,<i>Zea mays</i>
<div title='The genetic architecture of cell type-specific cis regulation in maize' class='scea-table'>The genetic architecture of cell type-specific cis regulation in maize</div>,"<div title='Marand AP, Jiang L, Gomez-Cano F, Minow MAA, Zhang X, Mendieta JP, Luo Z, Bang S, Yan H, Meyer C, Schlegel L, Johannes F, Schmitz RJ*' class='scea-table'>Marand AP, Jiang L, Gomez-Cano F, Minow MAA, Zhang X, Mendieta JP, Luo Z, Bang S, Yan H, Meyer C, Schlegel L, Johannes F, Schmitz RJ*</div>",Yes,<div title='Science. 2025 Apr 18;388(6744):eads6601. doi: 10.1126/science.ads6601. Epub 2025 Apr 18.' class='scea-table'>Science. 2025 Apr 18;388(6744):eads6601. doi: 10.1126/science.ads6601. Epub 2025 Apr 18.</div>,<a href='http://dx.doi.org/10.1126/science.ads6601'>10.1126/science.ads6601</a>,30305,,,<i>Zea mays</i>
<div title='The establishment of the anther somatic niche with single-cell sequencing' class='scea-table'>The establishment of the anther somatic niche with single-cell sequencing</div>,"<div title='Marchant DB, Walbot V' class='scea-table'>Marchant DB, Walbot V</div>",,<div title='Dev Biol. 2025 Feb;518:37-47. doi: 10.1016/j.ydbio.2024.11.004. Epub 2024 Nov 14.' class='scea-table'>Dev Biol. 2025 Feb;518:37-47. doi: 10.1016/j.ydbio.2024.11.004. Epub 2024 Nov 14.</div>,<a href='http://dx.doi.org/10.1016/j.ydbio.2024.11.004'>10.1016/j.ydbio.2024.11.004</a>,n/a,,,<i>Zea mays</i>
