Title,Authors,Is in PCA*?,Citation,DOI,# Cells,COPO Link,Viewer(s),Species
<div title='Investigating the cis-regulatory basis of C(3) and C(4) photosynthesis in grasses at single-cell resolution' class='scea-table'>Investigating the cis-regulatory basis of C(3) and C(4) photosynthesis in grasses at single-cell resolution</div>,"<div title='Mendieta JP, Tu X, Jiang D, Yan H, Zhang X, Marand AP, Zhong S, Schmitz RJ*' class='scea-table'>Mendieta JP, Tu X, Jiang D, Yan H, Zhang X, Marand AP, Zhong S, Schmitz RJ*</div>",Yes,<div title='Proc Natl Acad Sci U S A. 2024 Oct;121(40):e2402781121. doi: 10.1073/pnas.2402781121. Epub 2024 Sep 23.' class='scea-table'>Proc Natl Acad Sci U S A. 2024 Oct;121(40):e2402781121. doi: 10.1073/pnas.2402781121. Epub 2024 Sep 23.</div>,<a href='http://dx.doi.org/10.1073/pnas.2402781121'>10.1073/pnas.2402781121</a>,63504,,,"<i>Zea mays, Sorghum bicolor, Panicum miliaceum, Urochloa fusca, Oryza sativa</i>"
<div title='A single-nuclei transcriptome census of the Arabidopsis maturing root identifies that MYB67 controls phellem cell maturation' class='scea-table'>A single-nuclei transcriptome census of the Arabidopsis maturing root identifies that MYB67 controls phellem cell maturation</div>,"<div title='Miller CN, Jarrell-Hurtado S, Haag MV, Sara Ye Y, Simenc M, Alvarez-Maldonado P, Behnami S, Zhang L, Swift J, Papikian A, Yu J, Colt K, Ecker JR*, Michael TP, Law JA, Busch W' class='scea-table'>Miller CN, Jarrell-Hurtado S, Haag MV, Sara Ye Y, Simenc M, Alvarez-Maldonado P, Behnami S, Zhang L, Swift J, Papikian A, Yu J, Colt K, Ecker JR*, Michael TP, Law JA, Busch W</div>",Yes,<div title='Dev Cell. 2025 Jan 6:S1534-5807(24)00764-0. doi: 10.1016/j.devcel.2024.12.025. Online ahead of print.' class='scea-table'>Dev Cell. 2025 Jan 6:S1534-5807(24)00764-0. doi: 10.1016/j.devcel.2024.12.025. Online ahead of print.</div>,<a href='http://dx.doi.org/10.1016/j.devcel.2024.12.025'>10.1016/j.devcel.2024.12.025</a>,19755,,,<i>Arabidopsis thaliana</i>
<div title='Transcriptomics of Arabidopsis sperm cells at single-cell resolution' class='scea-table'>Transcriptomics of Arabidopsis sperm cells at single-cell resolution</div>,"<div title='Misra CS, Santos MR, Rafael-Fernandes M, Martins NP, Monteiro M, Becker JD' class='scea-table'>Misra CS, Santos MR, Rafael-Fernandes M, Martins NP, Monteiro M, Becker JD</div>",,<div title='Plant Reprod. 2019 Mar;32(1):29-38. doi: 10.1007/s00497-018-00355-4. Epub 2019 Jan 24.' class='scea-table'>Plant Reprod. 2019 Mar;32(1):29-38. doi: 10.1007/s00497-018-00355-4. Epub 2019 Jan 24.</div>,<a href='http://dx.doi.org/10.1007/s00497-018-00355-4'>10.1007/s00497-018-00355-4</a>,n/a,,,<i>Arabidopsis thaliana</i>
<div title='Defining the developmental program leading to meiosis in maize' class='scea-table'>Defining the developmental program leading to meiosis in maize</div>,"<div title='Nelms B, Walbot V' class='scea-table'>Nelms B, Walbot V</div>",,<div title='Science. 2019 Apr 5;364(6435):52-56. doi: 10.1126/science.aav6428.' class='scea-table'>Science. 2019 Apr 5;364(6435):52-56. doi: 10.1126/science.aav6428.</div>,<a href='http://dx.doi.org/10.1126/science.aav6428'>10.1126/science.aav6428</a>,144,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP164771.h5ad'>scPlantDB</a>,<i>Zea mays</i>
<div title='A 3D gene expression atlas of the floral meristem based on spatial reconstruction of single nucleus RNA sequencing data' class='scea-table'>A 3D gene expression atlas of the floral meristem based on spatial reconstruction of single nucleus RNA sequencing data</div>,"<div title='Neumann M, Xu X, Smaczniak C, Schumacher J, Yan W, Bluethgen N, Greb T, Joensson H, Traas J, Kaufmann K, Muino JM' class='scea-table'>Neumann M, Xu X, Smaczniak C, Schumacher J, Yan W, Bluethgen N, Greb T, Joensson H, Traas J, Kaufmann K, Muino JM</div>",,<div title='Nat Commun. 2022 May 20;13(1):2838. doi: 10.1038/s41467-022-30177-y.' class='scea-table'>Nat Commun. 2022 May 20;13(1):2838. doi: 10.1038/s41467-022-30177-y.</div>,<a href='http://dx.doi.org/10.1038/s41467-022-30177-y'>10.1038/s41467-022-30177-y</a>,7716,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP320285.h5ad'>scPlantDB</a>,<i>Arabidopsis thaliana</i>
<div title='A redundant transcription factor network steers spatiotemporal Arabidopsis triterpene synthesis' class='scea-table'>A redundant transcription factor network steers spatiotemporal Arabidopsis triterpene synthesis</div>,"<div title='Nguyen TH, Thiers L, Van Moerkercke A, Bai Y, Fernandez-Calvo P, Minne M, Depuydt T, Colinas M*, Verstaen K, Van Isterdael G, Nuetzmann HW, Osbourn A, Saeys Y*, De Rybel B*, Vandepoele K, Ritter A, Goossens A' class='scea-table'>Nguyen TH, Thiers L, Van Moerkercke A, Bai Y, Fernandez-Calvo P, Minne M, Depuydt T, Colinas M*, Verstaen K, Van Isterdael G, Nuetzmann HW, Osbourn A, Saeys Y*, De Rybel B*, Vandepoele K, Ritter A, Goossens A</div>",Yes,<div title='Nat Plants. 2023 Jun;9(6):926-937. doi: 10.1038/s41477-023-01419-8. Epub 2023 May 15.' class='scea-table'>Nat Plants. 2023 Jun;9(6):926-937. doi: 10.1038/s41477-023-01419-8. Epub 2023 May 15.</div>,<a href='http://dx.doi.org/10.1038/s41477-023-01419-8'>10.1038/s41477-023-01419-8</a>,9660,,<a href='https://bioit3.irc.ugent.be/plant-sc-atlas/'>VIB Plant sc-Atlas</a>,<i>Arabidopsis thaliana</i>
<div title='A rare PRIMER cell state in plant immunity' class='scea-table'>A rare PRIMER cell state in plant immunity</div>,"<div title='Nobori T*, Monell A, Lee TA, Sakata Y, Shirahama S, Zhou J, Nery JR, Mine A, Ecker JR' class='scea-table'>Nobori T*, Monell A, Lee TA, Sakata Y, Shirahama S, Zhou J, Nery JR, Mine A, Ecker JR</div>",Yes,<div title='Nature. 2025 Feb;638(8049):197-205. doi: 10.1038/s41586-024-08383-z. Epub 2025 Jan 8.' class='scea-table'>Nature. 2025 Feb;638(8049):197-205. doi: 10.1038/s41586-024-08383-z. Epub 2025 Jan 8.</div>,<a href='http://dx.doi.org/10.1038/s41586-024-08383-z'>10.1038/s41586-024-08383-z</a>,41994,,,<i>Arabidopsis thaliana</i>
<div title='Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root' class='scea-table'>Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root</div>,"<div title='Nolan TM*, Vukasinovic N, Hsu CW, Zhang J, Vanhoutte I, Shahan R*, Taylor IW, Greenstreet L, Heitz M, Afanassiev A, Wang P, Szekely P, Brosnan A, Yin Y, Schiebinger G, Ohler U, Russinova E, Benfey PN' class='scea-table'>Nolan TM*, Vukasinovic N, Hsu CW, Zhang J, Vanhoutte I, Shahan R*, Taylor IW, Greenstreet L, Heitz M, Afanassiev A, Wang P, Szekely P, Brosnan A, Yin Y, Schiebinger G, Ohler U, Russinova E, Benfey PN</div>",Yes,<div title='Science. 2023 Mar 31;379(6639):eadf4721. doi: 10.1126/science.adf4721. Epub 2023 Mar 31.' class='scea-table'>Science. 2023 Mar 31;379(6639):eadf4721. doi: 10.1126/science.adf4721. Epub 2023 Mar 31.</div>,<a href='http://dx.doi.org/10.1126/science.adf4721'>10.1126/science.adf4721</a>,210856,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP394711.h5ad'>scPlantDB</a>,<i>Arabidopsis thaliana</i>
<div title='WUSCHEL-RELATED HOMEOBOX 13 suppresses de novo shoot regeneration via cell fate control of pluripotent callus' class='scea-table'>WUSCHEL-RELATED HOMEOBOX 13 suppresses de novo shoot regeneration via cell fate control of pluripotent callus</div>,"<div title='Ogura N, Sasagawa Y, Ito T, Tameshige T, Kawai S, Sano M, Doll Y, Iwase A, Kawamura A, Suzuki T, Nikaido I, Sugimoto K, Ikeuchi M' class='scea-table'>Ogura N, Sasagawa Y, Ito T, Tameshige T, Kawai S, Sano M, Doll Y, Iwase A, Kawamura A, Suzuki T, Nikaido I, Sugimoto K, Ikeuchi M</div>",,<div title='Sci Adv. 2023 Jul 7;9(27):eadg6983. doi: 10.1126/sciadv.adg6983. Epub 2023 Jul 7.' class='scea-table'>Sci Adv. 2023 Jul 7;9(27):eadg6983. doi: 10.1126/sciadv.adg6983. Epub 2023 Jul 7.</div>,<a href='http://dx.doi.org/10.1126/sciadv.adg6983'>10.1126/sciadv.adg6983</a>,n/a,,,<i>Arabidopsis thaliana</i>
<div title='A conserved superlocus regulates above- and belowground root initiation' class='scea-table'>A conserved superlocus regulates above- and belowground root initiation</div>,"<div title='Omary M, Gil-Yarom N, Yahav C, Steiner E, Hendelman A, Efroni I' class='scea-table'>Omary M, Gil-Yarom N, Yahav C, Steiner E, Hendelman A, Efroni I</div>",,<div title='Science. 2022 Mar 4;375(6584):eabf4368. doi: 10.1126/science.abf4368. Epub 2022 Mar 4.' class='scea-table'>Science. 2022 Mar 4;375(6584):eabf4368. doi: 10.1126/science.abf4368. Epub 2022 Mar 4.</div>,<a href='http://dx.doi.org/10.1126/science.abf4368'>10.1126/science.abf4368</a>,n/a,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP286427.h5ad'>scPlantDB</a>,<i>Solanum lycopersicum</i>
<div title='Ground tissue circuitry regulates organ complexity in maize and Setaria' class='scea-table'>Ground tissue circuitry regulates organ complexity in maize and Setaria</div>,"<div title='Ortiz-Ramirez C, Guillotin B*, Xu X, Rahni R, Zhang S, Yan Z, Coqueiro Dias Araujo P, Demesa-Arevalo E, Lee L, Van Eck J, Gingeras TR, Jackson D* , Gallagher KL, Birnbaum KD*' class='scea-table'>Ortiz-Ramirez C, Guillotin B*, Xu X, Rahni R, Zhang S, Yan Z, Coqueiro Dias Araujo P, Demesa-Arevalo E, Lee L, Van Eck J, Gingeras TR, Jackson D* , Gallagher KL, Birnbaum KD*</div>",Yes,<div title='Science. 2021 Dec 3;374(6572):1247-1252. doi: 10.1126/science.abj2327. Epub 2021 Dec 2.' class='scea-table'>Science. 2021 Dec 3;374(6572):1247-1252. doi: 10.1126/science.abj2327. Epub 2021 Dec 2.</div>,<a href='http://dx.doi.org/10.1126/science.abj2327'>10.1126/science.abj2327</a>,14733,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP145013.h5ad'>scPlantDB</a>,<i>Zea mays</i>
<div title='A root phloem pole cell atlas reveals common transcriptional states in protophloem-adjacent cells' class='scea-table'>A root phloem pole cell atlas reveals common transcriptional states in protophloem-adjacent cells</div>,"<div title='Otero S, Gildea I, Roszak P, Lu Y, Di Vittori V, Bourdon M, Kalmbach L, Blob B, Heo JO, Peruzzo F, Laux T, Fernie AR*, Tavares H, Helariutta Y' class='scea-table'>Otero S, Gildea I, Roszak P, Lu Y, Di Vittori V, Bourdon M, Kalmbach L, Blob B, Heo JO, Peruzzo F, Laux T, Fernie AR*, Tavares H, Helariutta Y</div>",Yes,<div title='Nat Plants. 2022 Aug;8(8):954-970. doi: 10.1038/s41477-022-01178-y. Epub 2022 Aug 4.' class='scea-table'>Nat Plants. 2022 Aug;8(8):954-970. doi: 10.1038/s41477-022-01178-y. Epub 2022 Aug 4.</div>,<a href='http://dx.doi.org/10.1038/s41477-022-01178-y'>10.1038/s41477-022-01178-y</a>,10204,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP332285.h5ad'>scPlantDB</a>,<i>Arabidopsis thaliana</i>
<div title='Profiling plant histone modification at single-cell resolution using snCUT&Tag' class='scea-table'>Profiling plant histone modification at single-cell resolution using snCUT&Tag</div>,"<div title='Ouyang W, Luan S, Xiang X, Guo M, Zhang Y, Li G, Li X' class='scea-table'>Ouyang W, Luan S, Xiang X, Guo M, Zhang Y, Li G, Li X</div>",,<div title='Plant Biotechnol J. 2022 Mar;20(3):420-422. doi: 10.1111/pbi.13768. Epub 2022 Jan 16.' class='scea-table'>Plant Biotechnol J. 2022 Mar;20(3):420-422. doi: 10.1111/pbi.13768. Epub 2022 Jan 16.</div>,<a href='http://dx.doi.org/10.1111/pbi.13768'>10.1111/pbi.13768</a>,3679,,,<i>Oryza sativa</i>
<div title='The single-cell transcriptome program of nodule development cellular lineages in Medicago truncatula' class='scea-table'>The single-cell transcriptome program of nodule development cellular lineages in Medicago truncatula</div>,"<div title='Pereira WJ, Boyd J, Conde D, Triozzi PM, Balmant KM, Dervinis C, Schmidt HW, Boaventura-Novaes C, Chakraborty S, Knaack SA, Gao Y, Feltus FA, Roy S, Ane JM, Frugoli J, Kirst M' class='scea-table'>Pereira WJ, Boyd J, Conde D, Triozzi PM, Balmant KM, Dervinis C, Schmidt HW, Boaventura-Novaes C, Chakraborty S, Knaack SA, Gao Y, Feltus FA, Roy S, Ane JM, Frugoli J, Kirst M</div>",,<div title='Cell Rep. 2024 Feb 27;43(2):113747. doi: 10.1016/j.celrep.2024.113747. Epub 2024 Feb 7.' class='scea-table'>Cell Rep. 2024 Feb 27;43(2):113747. doi: 10.1016/j.celrep.2024.113747. Epub 2024 Feb 7.</div>,<a href='http://dx.doi.org/10.1016/j.celrep.2024.113747'>10.1016/j.celrep.2024.113747</a>,16824,,,<i>Medicago truncatula</i>
<div title='Transcriptional and imprinting complexity in Arabidopsis seeds at single-nucleus resolution' class='scea-table'>Transcriptional and imprinting complexity in Arabidopsis seeds at single-nucleus resolution</div>,"<div title='Picard CL, Povilus RA, Williams BP, Gehring M' class='scea-table'>Picard CL, Povilus RA, Williams BP, Gehring M</div>",,<div title='Nat Plants. 2021 Jun;7(6):730-738. doi: 10.1038/s41477-021-00922-0. Epub 2021 May 31.' class='scea-table'>Nat Plants. 2021 Jun;7(6):730-738. doi: 10.1038/s41477-021-00922-0. Epub 2021 May 31.</div>,<a href='http://dx.doi.org/10.1038/s41477-021-00922-0'>10.1038/s41477-021-00922-0</a>,1437,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP279357.h5ad'>scPlantDB</a>,<i>Arabidopsis thaliana</i>
<div title='Leaf cell-specific and single-cell transcriptional profiling reveals a role for the palisade layer in UV light protection' class='scea-table'>Leaf cell-specific and single-cell transcriptional profiling reveals a role for the palisade layer in UV light protection</div>,"<div title='Procko C, Lee T, Borsuk A, Bargmann BOR, Dabi T, Nery JR, Estelle M, Baird L, O'Connor C, Brodersen' class='scea-table'>Procko C, Lee T, Borsuk A, Bargmann BOR, Dabi T, Nery JR, Estelle M, Baird L, O'Connor C, Brodersen</div>",,<div title='Plant Cell. 2022 Aug 25;34(9):3261-3279. doi: 10.1093/plcell/koac167.' class='scea-table'>Plant Cell. 2022 Aug 25;34(9):3261-3279. doi: 10.1093/plcell/koac167.</div>,<a href='http://dx.doi.org/10.1093/plcell/koac167'>10.1093/plcell/koac167</a>,23729,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP338044.h5ad'>scPlantDB</a>,<i>Arabidopsis thaliana</i>
<div title='Single-cell RNA-seq reveals fate determination control of an individual fibre cell initiation in cotton (Gossypium hirsutum)' class='scea-table'>Single-cell RNA-seq reveals fate determination control of an individual fibre cell initiation in cotton (Gossypium hirsutum)</div>,"<div title='Qin Y, Sun M, Li W, Xu M, Shao L, Liu Y, Zhao G, Liu Z, Xu Z, You J, Ye Z, Xu J, Yang X, Wang M, Lindsey K, Zhang X, Tu L' class='scea-table'>Qin Y, Sun M, Li W, Xu M, Shao L, Liu Y, Zhao G, Liu Z, Xu Z, You J, Ye Z, Xu J, Yang X, Wang M, Lindsey K, Zhang X, Tu L</div>",,<div title='Plant Biotechnol J. 2022 Dec;20(12):2372-2388. doi: 10.1111/pbi.13918. Epub 2022 Oct 2.' class='scea-table'>Plant Biotechnol J. 2022 Dec;20(12):2372-2388. doi: 10.1111/pbi.13918. Epub 2022 Oct 2.</div>,<a href='http://dx.doi.org/10.1111/pbi.13918'>10.1111/pbi.13918</a>,14535,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP241596.h5ad'>scPlantDB</a>,<i>Gossypium hirsutum</i>
"<div title='A temporal map of division, chromatin modification, and identity specification in the regenerating root' class='scea-table'>A temporal map of division, chromatin modification, and identity specification in the regenerating root</div>","<div title='Rahni R, Guillotin B*, Lee LR, Birnbaum KD*' class='scea-table'>Rahni R, Guillotin B*, Lee LR, Birnbaum KD*</div>",Yes,<div title='NA' class='scea-table'>NA</div>,<a href='http://dx.doi.org/10.1101/2024.01.09.574680'>10.1101/2024.01.09.574680</a>,64000,,,<i>Arabidopsis thaliana</i>
<div title='Cell-by-cell dissection of phloem development links a maturation gradient to cell specialization' class='scea-table'>Cell-by-cell dissection of phloem development links a maturation gradient to cell specialization</div>,"<div title='Roszak P, Heo JO, Blob B, Toyokura K, Sugiyama Y, de Luis Balaguer MA, Lau WWY, Hamey F, Cirrone J, Madej E, Bouatta AM, Wang X, Guichard M, Ursache R, Tavares H, Verstaen K*, Wendrich J, Melnyk CW, Oda Y, Shasha D, Ahnert SE, Saeys Y*, De Rybel B*, Heidstra R, Scheres B, Grossmann G, Maehoenen AP, Denninger P, Goettgens B, Sozzani R, Birnbaum KD*' class='scea-table'>Roszak P, Heo JO, Blob B, Toyokura K, Sugiyama Y, de Luis Balaguer MA, Lau WWY, Hamey F, Cirrone J, Madej E, Bouatta AM, Wang X, Guichard M, Ursache R, Tavares H, Verstaen K*, Wendrich J, Melnyk CW, Oda Y, Shasha D, Ahnert SE, Saeys Y*, De Rybel B*, Heidstra R, Scheres B, Grossmann G, Maehoenen AP, Denninger P, Goettgens B, Sozzani R, Birnbaum KD*</div>",Yes,<div title='Science. 2021 Dec 24;374(6575):eaba5531. doi: 10.1126/science.aba5531. Epub 2021 Dec 24.' class='scea-table'>Science. 2021 Dec 24;374(6575):eaba5531. doi: 10.1126/science.aba5531. Epub 2021 Dec 24.</div>,<a href='http://dx.doi.org/10.1126/science.aba5531'>10.1126/science.aba5531</a>,272,,,<i>Arabidopsis thaliana</i>
<div title='Single-Cell RNA Sequencing Resolves Molecular Relationships Among Individual Plant Cells' class='scea-table'>Single-Cell RNA Sequencing Resolves Molecular Relationships Among Individual Plant Cells</div>,"<div title='Ryu KH, Huang L, Kang HM, Schiefelbein J' class='scea-table'>Ryu KH, Huang L, Kang HM, Schiefelbein J</div>",,<div title='Plant Physiol. 2019 Apr;179(4):1444-1456. doi: 10.1104/pp.18.01482. Epub 2019 Feb 4.' class='scea-table'>Plant Physiol. 2019 Apr;179(4):1444-1456. doi: 10.1104/pp.18.01482. Epub 2019 Feb 4.</div>,<a href='http://dx.doi.org/10.1104/pp.18.01482'>10.1104/pp.18.01482</a>,46991,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP171040.h5ad'>scPlantDB</a> <a href='https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-123013/'>SCEA</a>,<i>Arabidopsis thaliana</i>
<div title='A Wox3-patterning module organizes planar growth in grass leaves and ligules' class='scea-table'>A Wox3-patterning module organizes planar growth in grass leaves and ligules</div>,"<div title='Satterlee JW, Evans LJ, Conlon BR, Conklin P, Martinez-Gomez J, Yen JR, Wu H, Sylvester AW, Specht CD, Cheng J, Johnston R, Coen E, Scanlon MJ' class='scea-table'>Satterlee JW, Evans LJ, Conlon BR, Conklin P, Martinez-Gomez J, Yen JR, Wu H, Sylvester AW, Specht CD, Cheng J, Johnston R, Coen E, Scanlon MJ</div>",,<div title='Nat Plants. 2023 May;9(5):720-732. doi: 10.1038/s41477-023-01405-0. Epub 2023 May 4.' class='scea-table'>Nat Plants. 2023 May;9(5):720-732. doi: 10.1038/s41477-023-01405-0. Epub 2023 May 4.</div>,<a href='http://dx.doi.org/10.1038/s41477-023-01405-0'>10.1038/s41477-023-01405-0</a>,17128,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP417893.h5ad'>scPlantDB</a>,<i>Zea mays</i>
<div title='Plant stem-cell organization and differentiation at single-cell resolution' class='scea-table'>Plant stem-cell organization and differentiation at single-cell resolution</div>,"<div title='Satterlee JW, Strable J, Scanlon MJ' class='scea-table'>Satterlee JW, Strable J, Scanlon MJ</div>",,<div title='Proc Natl Acad Sci U S A. 2020 Dec 29;117(52):33689-33699. doi: 10.1073/pnas.2018788117. Epub 2020 Dec 14.' class='scea-table'>Proc Natl Acad Sci U S A. 2020 Dec 29;117(52):33689-33699. doi: 10.1073/pnas.2018788117. Epub 2020 Dec 14.</div>,<a href='http://dx.doi.org/10.1073/pnas.2018788117'>10.1073/pnas.2018788117</a>,16055,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP266308_1.h5ad'>scPlantDB_1</a> <a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP266308_2.h5ad'>scPlantDB_2</a>,<i>Zea mays</i>
<div title='Spatial co-transcriptomics reveals discrete stages of the arbuscular mycorrhizal symbiosis' class='scea-table'>Spatial co-transcriptomics reveals discrete stages of the arbuscular mycorrhizal symbiosis</div>,"<div title='Serrano K, Bezrutczyk M, Goudeau D, Dao T, O'Malley R*, Malmstrom RR, Visel A, Scheller HV, Cole B*' class='scea-table'>Serrano K, Bezrutczyk M, Goudeau D, Dao T, O'Malley R*, Malmstrom RR, Visel A, Scheller HV, Cole B*</div>",Yes,<div title='Nat Plants. 2024 Apr;10(4):673-688. doi: 10.1038/s41477-024-01666-3. Epub 2024 Apr 8.' class='scea-table'>Nat Plants. 2024 Apr;10(4):673-688. doi: 10.1038/s41477-024-01666-3. Epub 2024 Apr 8.</div>,<a href='http://dx.doi.org/10.1038/s41477-024-01666-3'>10.1038/s41477-024-01666-3</a>,38096,,,<i>Medicago truncatula</i>
<div title='Reconstruction of lateral root formation through single-cell RNA sequencing reveals order of tissue initiation' class='scea-table'>Reconstruction of lateral root formation through single-cell RNA sequencing reveals order of tissue initiation</div>,"<div title='Serrano-Ron L, Perez-Garcia P, Sanchez-Corrionero A, Gude I, Cabrera J, Ip PL, Birnbaum KD* , Moreno-Risueno MA' class='scea-table'>Serrano-Ron L, Perez-Garcia P, Sanchez-Corrionero A, Gude I, Cabrera J, Ip PL, Birnbaum KD* , Moreno-Risueno MA</div>",Yes,<div title='Mol Plant. 2021 Aug 2;14(8):1362-1378. doi: 10.1016/j.molp.2021.05.028. Epub 2021 May 29.' class='scea-table'>Mol Plant. 2021 Aug 2;14(8):1362-1378. doi: 10.1016/j.molp.2021.05.028. Epub 2021 May 29.</div>,<a href='http://dx.doi.org/10.1016/j.molp.2021.05.028'>10.1016/j.molp.2021.05.028</a>,573,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP293943.h5ad'>scPlantDB</a>,<i>Arabidopsis thaliana</i>
<div title='A single-cell Arabidopsis root atlas reveals developmental trajectories in wild-type and cell identity mutants' class='scea-table'>A single-cell Arabidopsis root atlas reveals developmental trajectories in wild-type and cell identity mutants</div>,"<div title='Shahan R*, Hsu CW, Nolan TM*, Cole BJ*, Taylor IW, Greenstreet L, Zhang S, Afanassiev A, Vlot AHC, Schiebinger G, Benfey PN, Ohler U' class='scea-table'>Shahan R*, Hsu CW, Nolan TM*, Cole BJ*, Taylor IW, Greenstreet L, Zhang S, Afanassiev A, Vlot AHC, Schiebinger G, Benfey PN, Ohler U</div>",Yes,<div title='Dev Cell. 2022 Feb 28;57(4):543-560.e9. doi: 10.1016/j.devcel.2022.01.008. Epub 2022 Feb 7.' class='scea-table'>Dev Cell. 2022 Feb 28;57(4):543-560.e9. doi: 10.1016/j.devcel.2022.01.008. Epub 2022 Feb 7.</div>,<a href='http://dx.doi.org/10.1016/j.devcel.2022.01.008'>10.1016/j.devcel.2022.01.008</a>,96000,,<a href='https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-152766/'>SCEA</a>,<i>Arabidopsis thaliana</i>
<div title='High-Throughput Single-Cell Transcriptome Profiling of Plant Cell Types' class='scea-table'>High-Throughput Single-Cell Transcriptome Profiling of Plant Cell Types</div>,"<div title='Shulse CN, Cole BJ*, Ciobanu D, Lin J, Yoshinaga Y, Gouran M, Turco GM, Zhu Y, O'Malley RC*, Brady SM*, Dickel DE' class='scea-table'>Shulse CN, Cole BJ*, Ciobanu D, Lin J, Yoshinaga Y, Gouran M, Turco GM, Zhu Y, O'Malley RC*, Brady SM*, Dickel DE</div>",Yes,<div title='Cell Rep. 2019 May 14;27(7):2241-2247.e4. doi: 10.1016/j.celrep.2019.04.054.' class='scea-table'>Cell Rep. 2019 May 14;27(7):2241-2247.e4. doi: 10.1016/j.celrep.2019.04.054.</div>,<a href='http://dx.doi.org/10.1016/j.celrep.2019.04.054'>10.1016/j.celrep.2019.04.054</a>,12198,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP169576.h5ad'>scPlantDB</a> <a href='https://www.ebi.ac.uk/gxa/sc/experiments/E-CURD-4/'>SCEA_1</a> <a href='https://www.ebi.ac.uk/gxa/sc/experiments/E-CURD-5/'>SCEA_2</a>,<i>Arabidopsis thaliana</i>
<div title='Single-cell transcriptome sequencing atlas of cassava tuberous root' class='scea-table'>Single-cell transcriptome sequencing atlas of cassava tuberous root</div>,"<div title='Song J, Fan B, Shao X, Zang Y, Wang D, Min Y' class='scea-table'>Song J, Fan B, Shao X, Zang Y, Wang D, Min Y</div>",,<div title='Front Plant Sci. 2023 Jan 4;13:1053669. doi: 10.3389/fpls.2022.1053669. eCollection 2022.' class='scea-table'>Front Plant Sci. 2023 Jan 4;13:1053669. doi: 10.3389/fpls.2022.1053669. eCollection 2022.</div>,<a href='http://dx.doi.org/10.3389/fpls.2022.1053669'>10.3389/fpls.2022.1053669</a>,14566,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP406470.h5ad'>scPlantDB</a>,<i>Manihot esculenta</i>
<div title='Single-cell RNA-seq analysis reveals ploidy-dependent and cell-specific transcriptome changes in Arabidopsis female gametophytes' class='scea-table'>Single-cell RNA-seq analysis reveals ploidy-dependent and cell-specific transcriptome changes in Arabidopsis female gametophytes</div>,"<div title='Song Q, Ando A, Jiang N, Ikeda Y, Chen ZJ' class='scea-table'>Song Q, Ando A, Jiang N, Ikeda Y, Chen ZJ</div>",,<div title='Genome Biol. 2020 Jul 22;21(1):178. doi: 10.1186/s13059-020-02094-0.' class='scea-table'>Genome Biol. 2020 Jul 22;21(1):178. doi: 10.1186/s13059-020-02094-0.</div>,<a href='http://dx.doi.org/10.1186/s13059-020-02094-0'>10.1186/s13059-020-02094-0</a>,46,,<a href='https://www.ebi.ac.uk/gxa/sc/experiments/E-ENAD-50/'>SCEA</a>,<i>Arabidopsis thaliana</i>
<div title='Single-Cell RNA-Sequencing of Soybean Reveals Transcriptional Changes and Antiviral Functions of GmGSTU23 and GmGSTU24 in Response to Soybean Mosaic Virus' class='scea-table'>Single-Cell RNA-Sequencing of Soybean Reveals Transcriptional Changes and Antiviral Functions of GmGSTU23 and GmGSTU24 in Response to Soybean Mosaic Virus</div>,"<div title='Song S, Wang J, Zhou J, Cheng X, Hu Y, Wang J, Zou J, Zhao Y, Liu C, Hu Z, Chen Q, Xin D' class='scea-table'>Song S, Wang J, Zhou J, Cheng X, Hu Y, Wang J, Zou J, Zhao Y, Liu C, Hu Z, Chen Q, Xin D</div>",,<div title='Plant Cell Environ. 2024 Sep 20. doi: 10.1111/pce.15164. Online ahead of print.' class='scea-table'>Plant Cell Environ. 2024 Sep 20. doi: 10.1111/pce.15164. Online ahead of print.</div>,<a href='http://dx.doi.org/10.1111/pce.15164'>10.1111/pce.15164</a>,50294,,,<i>Glycine max</i>
